金融学的内容、结构及演进是如何界定的？,金融学的内容、结构及演进基本上由多个金融学科构成，具有广泛的领域。在金融学的学科体系中，财政学和公司理财学也被包括在内。
关于金融学的名称和内容之间存在的问题是什么？,一些以《金融学》为名的书籍，其内容与名称并不一致。有的书籍的内容与多年以来一直采用的《货币银行学》教材相似，而其他书籍较好地涵盖了微观金融运行的内容，尤其是关于金融市场的学问。
金融学科体系的内容包括哪些方面？,金融学科体系的内容主要包括对金融的范畴分析、金融的宏观分析、金融市场和金融中介分析等。
金融学科体系中对金融的微观分析包括哪些内容？,对金融的微观分析主要包括对金融市场的分析、金融中介机构的分析，金融市场与金融中介机构相互渗透趋势的论证，以及金融功能分析等内容。
金融学科体系中对金融的宏观分析包括哪些内容？,对金融的宏观分析主要包括货币需求与货币供给、货币均衡与市场均衡、利率形成与汇率形成、通货膨胀与通货紧缩、金融危机、国际金融的制度安排与国际宏观政策的协调等内容。
为什么20世纪50年代初中国不认同金融学科体系应该包括财政学和公司理财学在内？,中国在20世纪50年代初不认为金融学科体系应该包含财政学和公司理财学，因为金融学科体系不应该限于资本市场学，需要包括其他领域的内容。
在金融学外语翻译中，使用“金融学”或“金融经济学”命名的学科对象是什么？,使用“金融学”或“金融经济学”命名的学科对象主要是金融市场。稍为扩大的学科对象包括金融市场和金融中介。
金融学科体系中的金融市场与金融中介的作用是什么？,金融学科体系包括对金融市场与金融中介的分析，研究它们的相互渗透的趋势，以及金融功能的作用，探讨金融在经济生活中的地位。
金融学科体系是如何定义“finance”这个词的？,金融学科体系较为宽泛地界定“finance”，并且把财政学和公司理财学包括在内。20世纪50年代初，苏联的学者认为“finance”等价于PHHaHCbI，中国则不认同这种观念。
金融学的宏观分析主要包括哪些内容？,金融学的宏观分析主要包括货币需求与货币供给，货币均衡与市场均衡，利率形成与汇率形成，通货膨胀与通货紧缩，金融危机，国际资本流动与国际金融振荡等内容。
在西方的经济学界，“金融学”和“货币经济学”这两个名称分别代表什么含义？,“金融学”或“金融经济学”主要用于指代金融的微观分析层面，涉及金融市场和金融中介的研究；而“货币经济学”主要用于指代金融的宏观分析层面，专门研究货币政策、财政政策以及国际宏观政策的协调等内容。
为什么“货币经济学”与“宏观经济学”中的金融内容会产生联系？,在“货币经济学”层面，对金融问题的深入分析与金融微观分析有密切联系，并且具有在宏观经济学的旁边独立存在的理由。因此，“货币经济学”的内容涉及了宏观经济学和金融学之间的联系。
